,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,57.5,63.0,26.0,19.5,40.5,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.75,34.0,39.75,37.0,22.5,30.0,16.5,4.0,2.5,0.0,0.0,0.0
003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,18.75,7.0,14.25,29.5,37.5,23.0,7.0,0.5,12.0,4.0,0.0,0.0,0.0,0.0
004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,10.0,31.25,36.25,24.0,19.0,18.0,11.75,5.0,2.0,0.0,0.0
005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,26.5,51.5,49.5,43.75,36.5,32.25,17.5,3.0,5.0,0.0,0.0,0.0,0.0,0.0
006,0.0,0.0,0.0,0.0,0.0,1.0,8.0,31.5,29.0,13.0,9.5,20.5,9.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,36.0,86.0,76.5,63.0,58.0,63.0,36.0,11.0,0.5,7.0,0.0,0.0
008,0.0,0.0,1.0,29.0,43.0,28.0,40.5,66.0,62.5,28.5,2.5,7.5,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,26.5,32.0,34.0,24.25,30.0,17.75,4.0,3.0,3.5,1.0,0.0,0.0,0.0
010,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,29.0,24.5,20.0,34.0,43.5,30.5,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
011,0.0,0.0,0.0,0.0,0.0,0.0,11.5,41.0,74.5,83.0,64.0,56.0,62.0,34.5,7.0,7.0,3.0,0.5,0.0,0.0,0.0,0.0
012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,28.0,23.0,31.0,31.0,18.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0
013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,39.25,32.0,30.5,46.75,47.75,24.75,4.0,4.5,7.5,0.5,0.0,0.0,0.0,0.0
014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.75,48.0,45.75,26.0,22.0,37.5,24.5,4.5,0.0,1.0,0.0,0.0,0.0,0.0
015,0.0,0.0,0.0,0.0,0.0,0.0,9.5,25.5,17.0,14.25,42.25,41.25,22.75,8.0,4.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0
016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,33.5,29.0,33.5,37.0,53.5,36.5,7.5,3.0,18.5,0.0,0.0,0.0
017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,22.5,24.5,32.5,37.0,42.5,26.5,12.0,6.5,6.5,1.0,0.0,0.0,0.0
018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.75,41.5,49.0,32.0,19.5,22.75,20.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
019,0.0,0.0,0.0,0.0,0.0,7.0,12.0,9.0,17.0,25.25,31.5,19.75,5.0,1.5,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,37.25,31.5,29.25,26.5,28.0,19.0,3.75,2.5,1.0,0.0,0.0,0.0
021,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.25,24.0,24.25,26.0,40.5,28.5,15.5,6.0,7.5,4.0,2.0,0.0,0.0,0.0,0.0
022,0.0,0.0,0.0,0.0,18.5,53.75,56.5,29.0,19.5,34.0,24.25,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,21.0,16.0,25.0,42.5,37.5,24.0,3.5,3.0,9.0,0.0,0.0,0.0,0.0,0.0
024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,43.0,40.0,22.0,20.0,27.0,16.0,6.5,2.0,1.0,0.5,0.0,0.0
025,0.0,0.0,0.0,10.5,30.0,22.0,20.5,23.5,41.5,21.5,3.5,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
026,0.0,0.0,0.0,0.0,0.0,1.0,18.5,31.0,28.0,22.5,15.5,27.0,12.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
027,0.0,0.0,0.0,0.0,0.5,13.0,36.25,37.5,24.0,11.0,19.5,15.75,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,8.75,21.25,9.75,12.5,32.75,22.0,12.25,2.5,2.0,3.0,1.0,0.0,0.0
029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,18.0,51.5,48.5,25.5,16.5,27.5,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.5,38.0,16.5,14.0,40.75,34.75,12.5,1.5,3.0,5.0,1.0,0.0,0.0,0.0
031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,27.5,21.0,21.0,24.25,25.75,18.75,5.5,2.0,3.5,0.0,0.0,0.0,0.0,0.0
032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.25,36.75,43.5,28.0,14.0,24.25,13.25,1.5,1.0,0.0,0.0,0.0
033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,16.75,9.75,14.75,31.0,31.5,15.25,1.5,3.0,7.75,0.0,0.0,0.0,0.0,0.0
034,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,39.75,30.75,22.5,33.0,34.25,20.25,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0
035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.25,31.5,21.75,11.5,15.5,12.0,2.0,0.5,0.0,0.0,0.0
036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,51.0,39.5,27.5,25.5,33.0,19.5,1.5,0.0,1.5,0.0,0.0
037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,24.75,16.5,23.0,34.5,41.75,25.0,4.0,2.0,11.5,0.25,0.0,0.0,0.0,0.0
038,0.0,0.0,0.0,0.0,8.75,33.0,34.25,27.5,17.0,19.0,15.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,35.75,25.0,20.0,27.25,38.0,24.25,4.0,2.0,4.25,0.5,0.0,0.0,0.0
040,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,26.0,32.5,23.5,10.0,10.0,14.5,5.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,31.25,28.0,25.75,43.0,46.5,25.0,8.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0
042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,34.0,32.5,16.5,12.0,21.0,14.5,0.0,0.0,2.0,0.0,0.0
043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,11.25,35.25,36.25,30.25,27.0,25.0,22.5,5.5,0.0,4.5,1.0
044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.5,30.5,20.5,13.0,16.5,13.5,3.0,0.5,0.0,0.0,0.0,0.0
045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.25,14.0,26.75,42.0,42.0,28.5,7.0,1.5,11.0,0.0,0.0,0.0
046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.5,25.5,30.5,15.0,12.0,17.5,13.0,4.0,0.5,0.0,0.0,0.0,0.0
047,0.0,0.0,0.0,0.0,0.0,0.0,8.5,25.75,18.5,17.25,34.0,37.5,25.5,10.5,2.0,8.0,4.5,0.0,0.0,0.0,0.0,0.0
048,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,23.5,14.0,21.5,36.0,27.5,14.0,2.5,5.5,4.5,1.0,0.0,0.0,0.0,0.0
049,0.0,0.0,0.0,0.0,0.0,0.0,3.5,23.5,18.25,17.5,33.25,49.5,23.5,12.0,3.0,8.5,3.5,0.0,0.0,0.0,0.0,0.0
050,0.0,0.0,0.0,0.0,0.0,0.0,16.0,35.0,45.75,26.5,20.5,25.75,17.0,2.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,18.0,34.0,32.75,20.5,17.25,19.5,12.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,19.0,43.5,45.25,30.0,30.75,41.0,20.5,3.25,2.25,3.25,0.0,0.0
053,0.0,0.0,0.0,0.0,0.0,6.0,25.5,15.5,11.0,31.5,48.5,28.0,5.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.5,40.0,18.5,12.5,21.5,15.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0
055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,23.0,12.0,20.0,32.0,37.0,19.5,4.0,1.0,9.0,0.0,0.0,0.0
056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,36.5,24.5,32.5,49.5,58.0,16.0,1.0,10.0,6.0,0.0,0.0,0.0
057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,22.5,7.0,12.0,21.0,31.5,18.5,3.0,0.0,11.5,0.5,0.0,0.0,0.0,0.0
058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.5,58.5,48.5,39.0,39.0,47.5,36.5,7.5,2.0,6.0,2.5,0.0,0.0
059,0.0,0.0,1.0,0.5,1.0,13.0,29.75,18.0,16.25,30.5,31.0,18.5,3.5,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,30.0,44.0,25.0,21.75,24.0,21.25,7.5,0.0,2.0,0.0,0.0,0.0
061,0.0,0.0,1.0,4.5,20.5,45.5,53.0,32.5,28.75,41.5,21.25,1.5,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,22.5,11.0,12.0,28.5,33.5,16.0,0.0,1.0,8.5,0.0,0.0,0.0
063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,17.0,34.0,41.25,25.25,20.0,28.0,17.0,3.0,2.0,3.0,1.0,0.0
064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,15.0,46.25,49.0,21.0,20.0,34.5,17.25,1.75,0.0,1.75,0.0,0.0,0.0,0.0
065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,33.0,36.0,23.5,17.5,20.25,14.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0
066,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.75,23.75,25.75,36.75,44.5,40.5,16.5,2.0,6.5,5.0,0.0,0.0,0.0,0.0,0.0
067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,18.0,41.5,39.5,25.5,23.75,31.0,19.5,3.5,1.5,3.0,0.0,0.0,0.0,0.0
068,0.0,0.0,0.0,0.0,0.0,1.0,10.25,30.0,32.5,19.0,12.75,17.5,12.5,3.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,34.5,63.0,78.75,52.5,40.75,49.75,38.25,5.5,1.5,3.0,0.0,0.0,0.0,0.0
070,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.25,42.25,80.5,57.0,33.0,33.25,41.0,11.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0
071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,18.5,27.5,19.5,26.0,41.75,34.5,22.25,2.75,2.5,10.5,0.0,0.0,0.0,0.0
072,0.0,0.0,0.0,0.0,0.0,7.5,21.0,11.0,17.5,25.0,26.25,14.5,0.0,2.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
073,0.0,0.0,0.0,0.0,0.0,11.5,18.0,12.0,19.0,35.5,40.5,20.5,5.0,4.0,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
074,0.0,0.0,0.0,0.0,0.0,0.5,12.75,37.0,30.0,24.0,32.5,32.25,14.0,2.5,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
075,0.0,0.0,0.0,0.0,0.0,0.0,10.0,32.0,36.5,19.75,22.5,26.75,14.5,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.75,40.0,45.0,33.0,27.75,34.75,17.25,3.0,5.0,1.5,0.0,0.0,0.0,0.0
077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,16.5,38.5,41.75,25.0,20.5,23.5,13.0,3.5,2.25,1.0,0.0,0.0
078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,14.5,26.5,14.5,19.5,33.75,36.0,17.0,0.5,4.0,8.25,0.0,0.0,0.0
079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,48.5,28.0,24.5,39.5,67.5,38.5,2.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0
080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,38.0,31.0,21.0,35.5,28.0,12.5,3.5,4.5,2.0,0.0,0.0,0.0
081,0.0,0.0,0.0,0.0,0.0,2.0,3.5,18.5,27.5,19.0,34.5,54.5,53.5,27.0,5.5,11.0,15.5,0.0,0.0,0.0,0.0,0.0
082,0.0,0.0,0.0,0.0,0.0,14.5,31.0,27.5,34.0,43.0,50.0,37.0,8.5,4.0,13.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,17.75,44.5,43.5,38.0,29.5,41.25,22.0,2.5,3.5,6.0,0.0,0.0
084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,18.5,49.5,39.0,32.0,22.75,34.75,20.25,3.75,0.0,2.0,0.0,0.0
085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.25,53.0,53.0,32.0,23.0,24.75,18.5,4.5,0.0,0.0,0.0
086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,45.125,55.0,29.5,15.75,32.0,22.625,3.5,1.0,1.0,0.0,0.0,0.0
087,0.0,0.0,0.0,0.0,14.0,41.0,25.0,17.5,52.0,53.5,23.5,8.0,2.0,7.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,21.0,16.0,25.0,42.5,37.5,24.0,3.5,3.0,9.0,0.0,0.0,0.0,0.0,0.0
089,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,4.0,10.75,28.75,24.0,24.25,35.5,33.75,14.5,5.5,4.5,4.0,1.0,0.0,0.0
090,0.0,0.0,0.0,0.0,0.0,14.0,32.5,36.0,22.0,11.0,16.0,14.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,79.5,56.0,59.5,74.25,73.0,35.25,3.0,4.0,9.5,0.0,0.0
092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,20.0,15.5,20.5,34.0,37.0,24.5,6.5,3.0,7.5,1.0,0.0,0.0
093,0.0,0.0,0.0,0.0,0.0,11.5,42.5,35.0,30.0,22.0,29.0,18.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
094,0.0,0.0,0.0,1.0,2.0,9.0,17.0,10.0,16.5,34.5,33.0,15.0,2.0,5.0,9.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
095,0.0,0.0,0.0,0.0,3.5,29.0,35.0,38.5,25.5,23.5,25.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
096,0.0,0.0,0.0,0.0,0.0,0.0,7.25,29.25,8.5,15.25,50.0,51.5,24.25,5.75,4.5,10.25,1.5,0.0,0.0,0.0,0.0,0.0
097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,24.5,55.5,45.0,28.0,24.0,35.0,22.5,1.5,0.0,3.5,0.0,0.0
098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.5,29.0,20.0,34.5,28.5,14.5,3.0,3.0,2.0,0.0,0.0,0.0
099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.5,18.0,17.0,23.0,37.5,39.5,25.0,5.5,4.0,11.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,4.5,24.5,18.5,19.0,37.0,52.0,25.5,12.0,0.5,11.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,14.5,35.0,30.5,15.5,20.0,26.0,15.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,48.0,52.5,41.5,33.0,36.5,16.5,1.0,6.5,2.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,15.0,33.5,42.0,27.0,21.0,26.5,22.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,18.0,12.0,15.5,28.0,30.5,20.0,0.0,1.5,8.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,12.0,24.5,13.0,21.5,37.0,35.0,15.0,3.5,5.0,8.0,1.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.75,52.5,60.25,35.5,21.5,30.5,27.5,3.5,0.0,2.0,0.0,0.0
107,0.0,0.0,0.5,3.0,25.75,70.5,59.5,41.0,42.0,51.25,30.0,8.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,3.0,11.5,41.5,42.5,24.0,24.5,26.0,13.5,3.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,7.0,36.0,28.5,31.0,55.0,81.0,52.0,11.0,4.0,26.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,11.5,25.0,18.0,22.0,36.5,38.0,21.0,7.0,2.0,8.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.75,19.75,13.0,16.5,42.0,35.75,17.75,4.5,5.5,6.5,1.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,10.5,12.0,25.0,34.5,19.5,0.0,1.0,10.5,0.0,0.0,0.0
113,2.0,4.5,24.5,29.0,15.0,26.0,55.5,61.0,25.5,2.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,19.75,15.5,18.25,41.0,35.75,28.25,7.5,0.75,9.0,2.5,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.5,25.0,17.0,35.0,30.5,23.0,12.0,2.5,5.5,3.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,80.5,87.0,68.5,51.5,57.5,35.5,8.5,2.0,2.5,0.5,0.0,0.0
117,0.0,0.0,0.0,17.75,31.5,36.5,23.0,22.5,32.25,22.0,2.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,3.5,18.5,28.0,35.5,23.0,23.0,22.0,15.0,2.5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,6.5,27.25,27.75,35.25,43.25,58.0,52.5,21.0,2.0,8.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,28.75,27.25,23.0,37.0,32.0,21.75,4.0,1.0,5.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,31.5,47.5,53.5,33.5,27.75,34.0,21.5,0.5,2.5,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,17.0,34.25,26.0,26.75,34.0,42.0,28.0,2.0,2.0,11.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.75,10.75,21.0,39.75,42.0,26.25,4.5,3.5,13.5,0.0,0.0,0.0,0.0,0.0
