mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	73/2	81/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		7	73	C#5	5	138
12	12	37	41	1.0		0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	169
12	12	37	41	0.5		0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	159
12	12	37	41	1.0		0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	165
12	12	37	41	1.5		0	0	4/4	1	1	3/8	1/4	3/2		2	74	D5	5	155
12	12	75/2	83/2	0.25		1/8	1/8	4/4	1	2	1/16	1/16	1		8	68	G#4	4	160
12	12	151/4	167/4	0.25		3/16	3/16	4/4	1	2	1/16	1/16	1		3	69	A4	4	161
12	12	38	42	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	170
12	12	38	42	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	166
12	12	38	42	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	162
12	12	77/2	85/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		4	76	E5	5	156
12	12	39	43	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	171
12	12	39	43	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		4	64	E4	4	167
12	12	39	43	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	163
12	12	39	43	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		7	73	C#5	5	157
12	12	40	44	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	172
12	12	40	44	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	168
12	12	40	44	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	164
12	12	40	44	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	158
13	13	41	45	1.0		0	0	4/4	2	2	1/4	1/4	1		3	57	A3	3	190
13	13	41	45	0.5		0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	184
13	13	41	45	1.0		0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	179
13	13	41	45	0.5		0	0	4/4	1	1	1/8	1/8	1		4	76	E5	5	173
13	13	83/2	91/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		6	66	F#4	4	185
13	13	83/2	91/2	0.5		1/8	1/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	174
13	13	42	46	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	191
13	13	42	46	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	186
13	13	42	46	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	180
13	13	42	46	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		7	73	C#5	5	175
13	13	85/2	93/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	192
13	13	85/2	93/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	187
13	13	85/2	93/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	176
13	13	43	47	0.5		1/2	1/2	4/4	2	2	1/8	1/8	1		7	49	C#3	3	193
13	13	43	47	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	188
13	13	43	47	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	181
13	13	43	47	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	177
13	13	87/2	95/2	0.5		5/8	5/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	194
13	13	44	48	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	195
13	13	44	48	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	189
13	13	44	48	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	182
13	13	44	48	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	178
13	13	89/2	97/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	196
13	13	89/2	97/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	183
14	14	45	49	0.5		0	0	4/4	2	2	1/8	1/8	1		7	49	C#3	3	210
14	14	45	49	1.0		0	0	4/4	2	1	1/4	1/4	1		4	52	E3	3	206
14	14	45	49	0.5		0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	201
14	14	45	49	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	197
14	14	91/2	99/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		5	47	B2	2	211
14	14	91/2	99/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	202
14	14	46	50	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		7	49	C#3	3	212
14	14	46	50	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	207
14	14	46	50	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	203
14	14	46	50	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	198
14	14	93/2	101/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	213
14	14	47	51	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	214
14	14	47	51	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	208
14	14	47	51	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	204
14	14	47	51	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	199
14	14	48	52	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	215
14	14	48	52	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	209
14	14	48	52	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	205
14	14	48	52	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	200
14	14	97/2	105/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	216
15	15	49	53	1.0		0	0	4/4	2	2	1/4	1/4	1		6	54	F#3	3	235
15	15	49	53	1.0		0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	229
15	15	49	53	0.5		0	0	4/4	1	2	1/8	1/8	1		7	61	C#4	4	222
15	15	49	53	1.0		0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	217
15	15	99/2	107/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	223
15	15	50	54	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	236
15	15	50	54	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	230
15	15	50	54	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	224
15	15	50	54	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	218
15	15	101/2	109/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	237
15	15	101/2	109/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	231
15	15	101/2	109/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	225
15	15	51	55	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	238
15	15	51	55	0.5		1/2	1/2	4/4	1	2	1/8	1/8	1		4	64	E4	4	226
15	15	51	55	0.5		1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	232
15	15	51	55	0.5		1/2	1/2	4/4	1	1	1/8	1/8	1		7	73	C#5	5	219
15	15	103/2	111/2	0.5		5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	233
15	15	103/2	111/2	0.5		5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	227
15	15	103/2	111/2	0.5		5/8	5/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	220
15	15	52	56	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		10	46	A#2	2	239
15	15	52	56	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	234
15	15	52	56	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	228
15	15	52	56	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	221
16	16	53	57	0.5		0	0	4/4	2	2	1/8	1/8	1		5	47	B2	2	256
16	16	53	57	0.5		0	0	4/4	2	1	1/8	1/8	1		7	61	C#4	4	249
16	16	53	57	0.5		0	0	4/4	1	2	1/8	1/8	1		6	66	F#4	4	244
16	16	53	57	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	240
16	16	107/2	115/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	257
16	16	107/2	115/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	250
16	16	107/2	115/2	1.0		1/8	1/8	4/4	1	2	1/4	1/4	1		5	71	B4	4	245
16	16	54	58	0.5		1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	258
16	16	54	58	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		1	67	G4	4	251
16	16	54	58	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	241
16	16	109/2	117/2	0.5		3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	259
16	16	109/2	117/2	0.25		3/8	3/8	4/4	2	1	1/16	1/16	1		6	66	F#4	4	252
16	16	109/2	117/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		10	70	A#4	4	246
16	16	219/4	235/4	0.25		7/16	7/16	4/4	2	1	1/16	1/16	1		4	64	E4	4	253
16	16	55	59	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	260
16	16	55	59	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	254
16	16	55	59	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	247
16	16	55	59	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	242
16	16	56	60	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		8	44	G#2	2	261
16	16	56	60	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	255
16	16	56	60	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	248
16	16	56	60	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	243
17	17	57	61	1.0		0	0	4/4	2	2	1/4	1/4	1		3	45	A2	2	280
17	17	57	61	1.0		0	0	4/4	2	1	1/4	1/4	1		4	64	E4	4	275
17	17	57	61	0.5		0	0	4/4	1	2	1/8	1/8	1		5	71	B4	4	267
17	17	57	61	1.0		0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	262
17	17	115/2	123/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	268
17	17	58	62	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	281
17	17	58	62	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	276
17	17	58	62	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	269
17	17	58	62	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	263
17	17	117/2	125/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	270
17	17	59	63	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		7	49	C#3	3	282
17	17	59	63	0.5		1/2	1/2	4/4	2	1	1/8	1/8	1		4	64	E4	4	277
17	17	59	63	0.5		1/2	1/2	4/4	1	2	1/8	1/8	1		1	67	G4	4	271
17	17	59	63	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	264
17	17	119/2	127/2	0.5		5/8	5/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	278
17	17	119/2	127/2	0.25		5/8	5/8	4/4	1	2	1/16	1/16	1		6	66	F#4	4	272
17	17	239/4	255/4	0.25		11/16	11/16	4/4	1	2	1/16	1/16	1		4	64	E4	4	273
17	17	60	64	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	283
17	17	60	64	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	279
17	17	60	64	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1	1	2	62	D4	4	274
17	17	60	64	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		6	66	F#4	4	265
17	17	121/2	129/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	284
17	17	121/2	129/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	266
18	18	61	65	0.5		0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	293
18	18	61	65	0.5		0	0	4/4	1	2	1/8	1/8	1	-1	2	62	D4	4	287
18	18	61	65	3.0		0	0	4/4	2	1	3/4	1/2	3/2		2	62	D4	4	291
18	18	61	65	2.0		0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	285
18	18	123/2	131/2	0.5		1/8	1/8	4/4	2	2	1/8	1/8	1		1	55	G3	3	294
18	18	123/2	131/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	288
18	18	62	66	2.0		1/4	1/4	4/4	2	2	1/2	1/2	1		3	57	A3	3	295
18	18	62	66	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	289
18	18	63	67	2.0		1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	290
18	18	63	67	2.0		1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	286
18	18	64	68	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	296
18	18	64	68	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	292
19	19	65	69	3.0		0	0	4/4	2	2	3/4	1/2	3/2		2	50	D3	3	300
19	19	65	69	3.0		0	0	4/4	2	1	3/4	1/2	3/2		3	57	A3	3	299
19	19	65	69	3.0		0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	298
19	19	65	69	3.0		0	0	4/4	1	1	3/4	1/2	3/2		6	66	F#4	4	297
